"SUBJECT","Subject","LOCATION","Country","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","DEU","Germany","ST","Level, ratio or index","M","Monthly","2019-01","Jan-2019","PC","Percentage","0","Units",,,3.3,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","DEU","Germany","ST","Level, ratio or index","M","Monthly","2019-02","Feb-2019","PC","Percentage","0","Units",,,3.3,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","DEU","Germany","ST","Level, ratio or index","M","Monthly","2019-03","Mar-2019","PC","Percentage","0","Units",,,3.2,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","DEU","Germany","ST","Level, ratio or index","M","Monthly","2019-04","Apr-2019","PC","Percentage","0","Units",,,3.1,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","DEU","Germany","ST","Level, ratio or index","M","Monthly","2019-05","May-2019","PC","Percentage","0","Units",,,3.1,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","DEU","Germany","ST","Level, ratio or index","M","Monthly","2019-06","Jun-2019","PC","Percentage","0","Units",,,3,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","DEU","Germany","ST","Level, ratio or index","M","Monthly","2019-07","Jul-2019","PC","Percentage","0","Units",,,3,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","DEU","Germany","ST","Level, ratio or index","M","Monthly","2019-08","Aug-2019","PC","Percentage","0","Units",,,3,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","DEU","Germany","ST","Level, ratio or index","M","Monthly","2019-09","Sep-2019","PC","Percentage","0","Units",,,3.1,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","DEU","Germany","ST","Level, ratio or index","M","Monthly","2019-10","Oct-2019","PC","Percentage","0","Units",,,3.1,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","DEU","Germany","ST","Level, ratio or index","M","Monthly","2019-11","Nov-2019","PC","Percentage","0","Units",,,3.2,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","DEU","Germany","ST","Level, ratio or index","M","Monthly","2019-12","Dec-2019","PC","Percentage","0","Units",,,3.3,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","DEU","Germany","ST","Level, ratio or index","M","Monthly","2020-01","Jan-2020","PC","Percentage","0","Units",,,3.4,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","DEU","Germany","ST","Level, ratio or index","M","Monthly","2020-02","Feb-2020","PC","Percentage","0","Units",,,3.6,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","DEU","Germany","ST","Level, ratio or index","M","Monthly","2020-03","Mar-2020","PC","Percentage","0","Units",,,3.8,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","DEU","Germany","ST","Level, ratio or index","M","Monthly","2020-04","Apr-2020","PC","Percentage","0","Units",,,4,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","DEU","Germany","ST","Level, ratio or index","M","Monthly","2020-05","May-2020","PC","Percentage","0","Units",,,4.2,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","DEU","Germany","ST","Level, ratio or index","M","Monthly","2020-06","Jun-2020","PC","Percentage","0","Units",,,4.3,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","DEU","Germany","ST","Level, ratio or index","M","Monthly","2020-07","Jul-2020","PC","Percentage","0","Units",,,4.4,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","DEU","Germany","ST","Level, ratio or index","M","Monthly","2020-08","Aug-2020","PC","Percentage","0","Units",,,4.4,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","KOR","Korea","ST","Level, ratio or index","M","Monthly","2019-01","Jan-2019","PC","Percentage","0","Units",,,4.3,,
